base_model,model,experiment,top1_accuracy,average_spearman,average_weighted_accuracy
CLIP,ViT-B/32,Baseline (Sentences),0.45714285714285713,0.1228571428571428,0.3499999999999999
CLIP,ViT-L/14,Baseline (Sentences),0.4714285714285714,0.14857142857142855,0.3585714285714284
CLIP,RN50x64,Baseline (Sentences),0.5,0.1757142857142857,0.3699999999999999
Align,Base,Baseline (Sentences),0.4857142857142857,0.14857142857142844,0.3857142857142856
open_clip,ViT-B-32,Baseline (Sentences),0.44285714285714284,0.16999999999999998,0.3485714285714285
CLIP,ViT-B/32,NC-Only,0.38571428571428573,0.11857142857142851,0.3228571428571428
CLIP,ViT-L/14,NC-Only,0.35714285714285715,0.07428571428571426,0.2771428571428571
CLIP,RN50x64,NC-Only,0.4,0.08714285714285715,0.30285714285714277
Align,Base,NC-Only,0.37142857142857144,0.15142857142857144,0.31142857142857133
open_clip,ViT-B-32,NC-Only,0.37142857142857144,0.1571428571428571,0.3042857142857142
CLIP,ViT-B/32,GPT Prompt 1,0.5571428571428572,0.15857142857142856,0.4085714285714284
CLIP,ViT-L/14,GPT Prompt 1,0.6285714285714286,0.22,0.4442857142857142
CLIP,RN50x64,GPT Prompt 1,0.6285714285714286,0.1871428571428572,0.44428571428571406
Align,Base,GPT Prompt 1,0.6428571428571429,0.18428571428571433,0.48428571428571415
open_clip,ViT-B-32,GPT Prompt 1,0.6428571428571429,0.19285714285714278,0.46999999999999986
CLIP,ViT-B/32,GPT Prompt 2,0.6857142857142857,0.2142857142857143,0.48714285714285693
CLIP,ViT-L/14,GPT Prompt 2,0.6142857142857143,0.23857142857142857,0.45142857142857135
CLIP,RN50x64,GPT Prompt 2,0.6714285714285714,0.1528571428571428,0.47714285714285704
Align,Base,GPT Prompt 2,0.6428571428571429,0.20142857142857146,0.47285714285714275
open_clip,ViT-B-32,GPT Prompt 2,0.6142857142857143,0.2228571428571428,0.4457142857142855
CLIP,ViT-B/32,GPT Prompt 3,0.5714285714285714,0.18428571428571427,0.41857142857142865
CLIP,ViT-L/14,GPT Prompt 3,0.5571428571428572,0.25000000000000006,0.4471428571428571
CLIP,RN50x64,GPT Prompt 3,0.6142857142857143,0.11571428571428573,0.4071428571428569
Align,Base,GPT Prompt 3,0.6142857142857143,0.17857142857142855,0.42714285714285705
open_clip,ViT-B-32,GPT Prompt 3,0.6,0.20142857142857143,0.4528571428571428
CLIP,ViT-B/32,GPT Prompt 3 with nc for literal,0.3,0.10142857142857141,0.26
CLIP,ViT-L/14,GPT Prompt 3 with nc for literal,0.2714285714285714,0.05714285714285713,0.22999999999999993
CLIP,RN50x64,GPT Prompt 3 with nc for literal,0.35714285714285715,0.09857142857142857,0.2628571428571428
Align,Base,GPT Prompt 3 with nc for literal,0.3142857142857143,0.1428571428571428,0.2557142857142857
open_clip,ViT-B-32,GPT Prompt 3 with nc for literal,0.2571428571428571,0.15999999999999998,0.23
CLIP,ViT-B/32,GPT Prompt 3 with sentence for literal,0.3,0.10142857142857141,0.26
CLIP,ViT-L/14,GPT Prompt 3 with sentence for literal,0.2714285714285714,0.05714285714285713,0.22999999999999993
CLIP,RN50x64,GPT Prompt 3 with sentence for literal,0.35714285714285715,0.09857142857142857,0.2628571428571428
Align,Base,GPT Prompt 3 with sentence for literal,0.3142857142857143,0.1428571428571428,0.2557142857142857
open_clip,ViT-B-32,GPT Prompt 3 with sentence for literal,0.2571428571428571,0.15999999999999998,0.23
CLIP,ViT-B/32,GPT Prompt 4 with sentence if predicted literal,0.6,0.23285714285714287,0.4614285714285713
CLIP,ViT-L/14,GPT Prompt 4 with sentence if predicted literal,0.5857142857142857,0.22857142857142845,0.45142857142857123
CLIP,RN50x64,GPT Prompt 4 with sentence if predicted literal,0.6285714285714286,0.13714285714285712,0.44714285714285706
Align,Base,GPT Prompt 4 with sentence if predicted literal,0.6285714285714286,0.13714285714285712,0.45999999999999985
open_clip,ViT-B-32,GPT Prompt 4 with sentence if predicted literal,0.6285714285714286,0.1457142857142857,0.4399999999999999
